"tag","ANY1","ANY2","CMU GHC","HAY","IBM","SDU","UCB SDH","UCB SODA","UCSD","UVA","TOTAL"
"singletontagset",0,1,0,0,0,0,0,0,0,0,1
"site",0,0,0,0,0,0,3614,1586,0,0,5200
"smoke",3,0,0,0,0,0,13,13,4,0,33
"socket",0,11,0,0,221,0,220,0,0,0,452
"solar",0,1,0,0,1,0,1,0,2,0,5
"south",0,0,0,0,0,2,0,0,0,0,2
"sp",0,0,0,20,0,0,686,0,0,0,706
"span",0,0,0,0,0,114,0,0,2,0,116
"speed",12,24,0,1,152,1,151,19,20,0,380
"srvc",0,1,0,0,2,0,4,0,0,0,7
"stage",0,4,11,2,0,0,0,0,0,0,17
"stages",0,0,0,0,0,0,0,0,4,0,4
"stageup",1,0,0,0,0,0,0,0,0,0,1
"standby",0,0,0,3,0,114,0,0,8,0,125
"standy",0,0,0,0,0,0,0,0,4,0,4
"start",0,1,0,0,6,0,49,49,10,0,115
"state",0,0,0,0,0,3,0,0,0,0,3
"static",36,0,0,0,0,0,15,15,2,0,68
"status",48,17,0,0,89,0,51,45,116,59,425
"steam",0,1,30,0,0,0,1,1,0,0,33
"stndby",0,0,0,0,0,0,0,0,1,0,1
"stop",0,0,0,0,0,0,47,47,10,0,104
"storage",0,1,0,0,3,0,3,0,0,0,7
"suction",0,0,0,0,0,54,0,0,4,0,58
"sun",0,2,0,0,2,0,2,0,0,0,6
"sunbeams",0,0,0,0,0,0,0,0,3,0,3
"sunblind",0,2,0,0,3,0,3,0,0,0,8
"sunrise",0,1,0,0,0,0,0,0,0,0,1
"sunshinehour",0,1,0,0,0,0,0,0,0,0,1
"supply",117,25,0,0,297,0,117,231,1205,65,2057
"switch",5,1,0,0,1,0,1,0,3,0,11
"system",7,0,0,0,0,0,1,1,11,0,20
"tank",0,0,0,0,0,0,0,0,0,2,2
"temp",0,0,0,0,0,0,38,0,0,0,38
"temperature",100,89,2058,32,1008,470,1236,751,531,267,6542
"temporary",0,0,0,0,0,0,0,0,54,0,54
"test",0,0,0,0,0,0,0,0,1,0,1
"thermalwheel",0,1,0,0,2,0,1,0,0,0,4
"throttle",0,0,0,0,0,3,0,0,0,0,3
"time",0,2,0,0,3,0,2,2,7,0,16
"timer",0,0,0,0,0,0,18,18,0,0,36
"to",0,0,0,0,0,0,0,0,1,0,1
"tolerance",0,0,0,0,0,0,0,0,8,0,8
"topup",0,1,0,0,1,0,0,0,0,0,2
"torque",0,0,0,0,0,0,0,0,14,0,14
"total",1,1,0,0,0,0,0,0,0,0,2
"tower",0,0,0,0,0,0,0,10,0,0,10
"trace",0,1,0,0,3,0,0,0,0,0,4
"tuning",0,0,0,0,0,0,0,0,21,0,21
"turned",0,0,0,0,0,0,0,0,8,0,8
"unit",1,0,50,0,0,0,0,4,24,0,79
"unocc",26,0,0,2,0,0,0,0,0,0,28
"unoccupied",0,0,0,0,0,0,0,0,2,0,2
"usage",1,4,0,0,5,0,0,0,0,0,10
"valve",40,18,670,4,390,57,341,23,234,0,1777
"variable",0,10,0,0,25,0,85,80,0,0,200
"vav",3,17,3474,16,0,0,1169,135,0,0,4814
"vavmode",0,0,0,1,0,0,0,0,0,0,1
"velocity",6,0,0,0,0,0,0,0,0,0,6
"velocityunit",0,1,0,0,1,0,0,0,0,0,2
"vent",0,0,0,0,0,54,0,0,0,0,54
"ventilation",0,0,0,0,0,3,0,0,0,0,3
"vfd",8,16,108,5,0,0,0,0,14,0,151
"volatileorganiccompound",0,1,0,0,0,0,0,0,0,0,1
"volt",0,0,22,2,0,0,0,0,0,0,24
"voltage",0,8,0,0,6,0,6,0,7,0,27
"volume",0,6,0,0,8,0,12,10,0,14,50
"warm",0,0,0,0,0,0,0,0,238,0,238
"warmer",7,0,0,0,0,0,0,0,0,0,7
"warmest",3,0,0,0,0,0,0,0,0,0,3
"water",22,162,524,43,171,0,201,358,29,75,1585
"weather",0,10,0,0,13,0,12,0,0,0,35
"west",0,0,0,0,0,2,1,1,0,0,4
"wheel",10,0,0,0,0,0,0,0,0,0,10
"when",0,0,0,0,0,0,0,0,1,0,1
"wide",0,0,0,0,0,0,30,30,0,0,60
"wind",0,6,0,0,7,2,7,0,6,0,28
"window",0,1,0,0,0,0,0,0,0,0,1
"wireless",0,2,0,0,51,0,1,0,0,0,54
"womens",2,0,0,0,0,0,0,0,0,0,2
"wtr",1,0,0,0,0,0,0,0,0,0,1
"zenith",0,0,0,0,0,0,0,0,1,0,1
"zone",24,40,1404,22,904,0,1361,1643,239,0,5637
