Domain,TagSet,Definition,hasSynonym,hasUnit,hasAbbreviation,Highest Superclass,can be named? (can be instantiated?),can be unnamed? (cannot be instantiated?),Author,Reviewed,Review Count,Discussion,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Outside Air Damper Position,,,,,Point,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Outside Air Damper Position Command,,,,,Point,,,Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Mixed Air Damper Position,,Bypass Damper Position,,,Point,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Mixed Air Damper Position Command,,,,,Point,,,Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Outside Air Damper Min Position Setpoint,Part of economizer to ensure minimum air flow,Economizer Damper Min Position Setpoint,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Economizer Discharge Air Temperature Proportional Band,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Economizer Discharge Air Temperature Dead Band,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Economizer Differential Air Temperature Setpoint,Difference between return air flow and outside air flow,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Face Bypass Damper,,,,,Equipment,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Bypass Air Flow Sensor,,,,,Point,,,Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Return Air Humidity,,,,,Measurement Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Return Air Humidity Sensor,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Outside Air Humidity,,,,,Measurement Property,,,Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Outside Air Humidity Sensor,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,CO2 Differential,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Outside Air CO2,,,,,Measurement Property,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Outside Air CO2 Sensor,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Outside Air Dewpoint,,,,,Measurement Property,,,Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Outside Air Dewpoint Sensor,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Outside Air Enthalpy,,,,,Measurement Property,,,Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Outside Air Enthalpy Sensor,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Outside Air grains,,,,,Measurement Property,,,Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Return Air CO2,,,,,Measurement Property,,,Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Return Air CO2 Sensor,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Return Air Dewpoint,,,,,Measurement Property,,,Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Return Air Dewpoint Sensor,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Return Air Enthalpy,,,,,Measurement Property,,,Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Return Air Enthalpy Sensor,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Return Air grains,,,,,Measurement Property,,,Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Max Return Air CO2 Setpoint,,,,,Point,,,Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,AHU Overridden On,Indicates if the AHU has been manually overridden to be On,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,AHU Overridden Off,Indicates if the AHU has been manually overridden to be Off,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Static Pressure,Static Pressure in the supply duct,,,,Measurement Property,,,Marco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Static Pressure Sensor,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
